ref;lat;lon;addr:full;addr:state;addr:ISO3166-2-lvl4;addr:district;addr:municipality;addr:city;addr:road;addr:postcode;fuel:lpg;fuel:diesel;fuel:octane_92;fuel:octane_95;fuel:octane_98;fuel:adblue;toilets;internet_access:wifi;generator;amenity:charging_station;service:coffee;shop;parking;compressed_air;payment:terminal;invincibility_point;amenity:fast_food;name;name:en;name:uk;brand;brand:uk;brand:en;operator;contact:phone;contact:email;contact:website;opening_hours;amenity;brand:wikidata;brand:wikipedia;contact:facebook;contact:instagram;contact:twitter;contact:tiktok;contact:youtube;contact:linkedin
17018;49.78905;24.140815;"Львівська обл.; с.Бережани; об`їздна дорога; тр.Київ-Чоп 530;6км";Львівська область;UA-46;Пустомитівський;Давидівська сільська громада;с. Бережани;  ;81144;;;;;;;yes;yes;;;;;yes;;yes;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2128;50.307193;31.080601;"Київська обл.; с.Іванків; тр.Київ-Харків 48;4км; права сторона";Київська область;UA-32;Бориспільський;Бориспільська міська громада;с. Іванків;  ;08335;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
25/015;50.5786248;32.4086408;"Чернігівська обл.; м. Прилуки вул. Гвардiйська; 67";Чернігівська область;UA-74;Прилуцький;Прилуцька міська громада;м. Прилуки;вулиця Гвардiйська 67;17510;;yes;yes;yes;yes;;yes;;yes;;yes;;;yes;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2135;50.399029;30.636299;"Київ; пр. Бажана Миколи; 1-К";Київська область;UA-30;Дарницький;Київська міська рада;м. Київ;проспект Миколи Бажана 1к;02141;;;yes;yes;yes;;yes;yes;;;;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
3012;47.5714;34.403;"Дніпропетровська обл.; м.Нікополь; вул.Патріотів України; 143-А";Дніпропетровська область;UA-12;Нікопольський;Нікопольська міська громада;м. Нікополь;вулиця Патріотів України 143а;53211;;;yes;yes;yes;;yes;;;yes;yes;yes;;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
3020;48.555208;35.087457;"Дніпропетровська обл.; смт.Слобожанське (колишня назва Ювілейне); вул.Кримська; 111";Дніпропетровська область;UA-12;Дніпровський;Слобожанська селищна громада;смт. Слобожанське;вулиця Кримська 111;51001;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
3014;48.523707;35.864986;"Дніпропетровська обл.; м.Павлоград; вул.Дніпровська; 132-А";Дніпропетровська область;UA-12;Павлоградський;Павлоградська міська громада;м. Павлоград;вулиця Дніпровська 132а;51400;;;yes;yes;yes;;yes;yes;yes;;yes;yes;;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
25/013;50.5874263;32.3817929;"Чернігівська обл.; м. Прилуки; вул. 1-го Травня; буд.60";Чернігівська область;UA-74;Прилуцький;Прилуцька міська громада;м. Прилуки;вулиця 1-го Травня 60;17501;;yes;yes;yes;yes;yes;yes;;yes;;;;;yes;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2126;50.404042;30.402807;"Київ; вул. Кільцева дорога; 16";Київська область;UA-30;Святошинський;Київська міська рада;м. Київ;вулиця Кільцева дорога 16;03182;;;yes;yes;yes;;yes;yes;;;;;yes;;yes;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
3002;48.417545;35.024049;"Дніпро; вул.Запорізьке шосе; 11-Б";Дніпропетровська область;UA-12;Дніпровський;Дніпровська міська громада;м. Дніпро;шосе Запорізьке 11б;49000;;;yes;yes;yes;;yes;;yes;;yes;yes;;;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10004;49.793434;33.300827;"Полтавська обл.; м.Хорол; с.Глибока Долина; вул.Глибокодолинська; 2-А";Полтавська область;UA-53;Лубенський;Хорольська міська громада;с. Глибока Долина;вулиця Глибокодолинська 2а;37800;;;yes;yes;yes;;yes;yes;yes;;yes;yes;;;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10/012;48.487736;32.194572;"Кіровоградська обл.;м. Кропивницький; вул. Героїв України; 38-В";Кіровоградська область;UA-35;Кропивницький;Кропивницька міська громада;м. Кропивницький;вулиця Героїв України ;25031;;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
6011;50.036814;36.1989;"Харків; вул.Клочківська; 260";Харківська область;UA-63;Харківський;Харківська міська громада;м. Харків;вулиця Клочківська 260;21202;;;yes;yes;yes;;;;yes;;yes;yes;;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
09/014;50.334208;30.986288;"м. Бориспіль; вул. Київський шлях; 212";Київська область;UA-32;Бориспільський;Бориспільська міська громада;м. Бориспіль;вулиця Київський шлях 212;07527;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
09/034;49.389542;30.166965;"Київська область; Ставищенський район/смт Сиавище р-н; смт.Ставище; вул. Сергія Цимбала; буд. 3-Д";Київська область;UA-32;Білоцерківський;Ставищенська селищна громада;с-ще Ставище;вулиця Сергія Цимбала 3Д;09400;;yes;yes;yes;yes;;yes;yes;yes;;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
17/007;50.594542;26.159993;"Рівненська обл.; Рівненський р-н; с. Велика Омеляна; вул. Дубнівська; буд. 2-Б";Рівненська область;UA-56;Рівненський;Великоомелянська сільська громада;с. Велика Омеляна;вулиця Дубнівська 2Б;33004;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;yes;yes;;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
19/001;49.575599;25.622959;"м.Тернопіль; вул.Текстильна; 23";Тернопільська область;UA-61;Тернопільський;Тернопільська міська громада;м. Тернопіль;вулиця Текстильна 23;46400;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
6009;49.962761;36.036015;"Харківська обл.; смт.Коротич; тр.Київ-Харків-Довжанський 465км";Харківська область;UA-63;Харківський;Пісочинська селищна громада;с/р Коротичанська;  б/н;62455;;;yes;yes;yes;;yes;yes;yes;;yes;yes;yes;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/024;47.972457;23.836907;"Закарпатська обл.; Тячівський р-н.; с.Нижня Апша; вул. Думбрава; 152";Закарпатська область;UA-21;Тячівський;Солотвинська селищна громада;с. Нижня Апша;вулиця Думбрава 152;90571;;yes;yes;yes;yes;;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
07/134;47.872179;35.037262;"м. Запоріжжя; Дніпровське шосе; 3-В";Запорізька область;UA-23;Дніпровський;Запорізька міська громада;м. Запоріжжя;шосе Дніпровське 3-В;69041;;yes;yes;yes;yes;;yes;;;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10/011;48.53021;32.292568;"Кіровоградська обл.; м. Кропивницький; Олександрійське шосе; буд. 3";Кіровоградська область;UA-35;Кропивницький;Кропивницька міська громада;м. Кропивницький;шосе Олександрійське ;25015;;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/015;48.527403;22.882144;"Закарпатська обл.; Свалявський район; с. Пасіка; 290";Закарпатська область;UA-21;Мукачівський;Полянська сільська громада;с. Пасіка; 290 ;89641;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
14006;47.015877;31.997321;"Миколаїв; пр.Героїв України; 91-В";Миколаївська область;UA-48;Миколаївський;Миколаївська міська громада;м. Миколаїв;проспект Героїв України 91в;54000;;;yes;yes;yes;;yes;;yes;;yes;yes;;;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
10/002;48.70115;32.588708;"Кіровоградська обл.; Знамянський р-н.; смт. Знамянка Друга; вул. Степова; буд. 1";Кіровоградська область;UA-35;Кропивницький;Знам'янська міська громада;с-ще Знам'янка Друга;вулиця Степова 1;27411;;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;yes;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
08/009;49.033348;24.429648;"Івано-Франківська обл.; м.Калуш; вул.Івано-Франківська; буд.128";Івано-Франківська область;UA-26;Калуський;Калуська міська громада;м. Калуш;вулиця Івано-Франківська 128;77334;yes;yes;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2009;50.420454;30.593056;"Київ; вул. Дніпровська Набережна; 13-Б";Київська область;UA-30;Дарницький;Київська міська рада;м. Київ;вулиця Дніпровська Набережна 13б;02098;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
